# Production Meta System Requirements
# Only production packages, no mock implementations

# Core Langchain packages (REQUIRED)
langchain==0.1.0
langchain-ollama==0.1.0
langchain-core==0.1.0

# Document generation libraries (for attempt2 agents)
reportlab==4.0.7          # PDF generation
python-pptx==0.6.23       # PowerPoint generation  
python-docx==1.1.0        # Word document generation
matplotlib==3.8.2         # Diagram generation
networkx==3.2.1           # Advanced diagram layouts
Pillow==10.1.0            # Image processing

# Data handling and utilities
pandas==2.1.4             # Data manipulation
numpy==1.24.4             # Numerical computing
requests==2.31.0          # HTTP requests
aiohttp==3.9.1            # Async HTTP client

# Development and logging
python-dotenv==1.0.0      # Environment variables
pydantic==2.5.2           # Data validation
typing-extensions==4.8.0  # Type hints support
